idadmin1,idadmin2,admin1,admin2,year,age_group,reported_cases,pop,incidence_rate
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,0-4,138,187937,73.42886179943278
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,5-14,445,374270,118.89812167686429
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,15-44,827,1237129,66.84832382071717
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2018,45+,176,606871,29.00122101731669
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,0-4,416,186382,223.1975190737303
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,5-14,1281,377988,338.8996476078606
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,15-44,2218,1223477,181.286611844767
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2019,45+,363,632512,57.39021552160275
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2020,0-4,161,184826,87.10895653208965
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2020,5-14,653,381705,171.07452089964764
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2020,15-44,1328,1209825,109.76794164445272
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2020,45+,264,658155,40.11213164072293
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2021,0-4,138,183270,75.29873956457685
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2021,5-14,410,385422,106.3769063519986
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2021,15-44,675,1196173,56.42996456198225
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2021,45+,136,683796,19.888972734558262
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2022,0-4,420,181715,231.13116693723686
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2022,5-14,1137,389140,292.1827619879735
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2022,15-44,1700,1182521,143.76066048721333
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2022,45+,346,709439,48.77093027025579
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2023,0-4,359,180159,199.2684240032416
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2023,5-14,601,392857,152.98187381159048
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2023,15-44,990,1168868,84.6973310929891
31,3174,DKI JAKARTA,KOTA JAKARTA BARAT,2023,45+,260,735079,35.370347948995956
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2017,0-4,334,144796,230.6693555070582
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2017,5-14,386,274309,140.71722036097978
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2017,15-44,510,909697,56.06262304921309
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2017,45+,165,412439,40.00591602636996
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2018,0-4,165,144464,114.2153062354635
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2018,5-14,295,277608,106.26494913691248
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2018,15-44,479,901950,53.10715671600422
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2018,45+,136,429800,31.6426244765007
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2019,0-4,457,144133,317.06826334010947
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2019,5-14,1028,280907,365.95741651151445
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2019,15-44,1925,894203,215.2755023188247
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2019,45+,462,447158,103.31918471770604
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2020,0-4,245,143801,170.3743367570462
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2020,5-14,482,284206,169.59529355467512
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2020,15-44,1014,886456,114.38808017544017
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2020,45+,264,464518,56.833104422218305
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2021,0-4,186,143469,129.64473161449513
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2021,5-14,362,287504,125.91129166898548
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2021,15-44,603,878711,68.62324473006483
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2021,45+,188,481877,39.01410525922591
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2022,0-4,402,143138,280.84785312076457
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2022,5-14,1467,290804,504.4634874348359
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2022,15-44,2281,870962,261.8943191551411
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2022,45+,526,499236,105.3609915951574
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2023,0-4,269,142806,188.367435541924
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2023,5-14,679,294102,230.872282405424
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2023,15-44,1171,863217,135.65534506387155
31,3175,DKI JAKARTA,KOTA JAKARTA UTARA,2023,45+,357,516596,69.10622614189812
